NAME,CATEGORY,ADDRESS,LAT,LNG,ID
Teatro San Cipriano,Theater,Via Carlo D'Adda,45.44624,9.161331,4cf015fd7bf3b60ce760577f
Massive Arts Studios,Concert Hall,Via Eugenio Villoresi 24,45.44667121,9.162956562,4de23782ae60e7f3abe99ed8
Linguaggi Creativi,Theater,,45.44659095,9.162924671,4ec9133c0e6158ba006c53eb
Malagher,Piano Bar,"Via Malaga, 6",45.44536,9.159379,4bd45cf5a8b3a5933c9c6b5f
The Botanical Club,Lounge,Via Tortona 33,45.45133764,9.161408564,5772bab6498e45d5a647c213
Red Bull Party,Nightclub,Via Tortona,45.449953,9.161226,4f91d37be4b0c9a2aa1db300
T35,Nightclub,Via tortonax,45.45110105,9.160652193,4bd2384741b9ef3b8eaafde5
Area Relax @BM,General Entertainment,Via Tortona 37,45.450612,9.158587,52496239498e2e72bd7a6f96
Alphabet,Nightclub,Alzaia Naviglio Grande 98,45.44944236,9.161711485,5286dabd11d253e6ba962bdf
eBayLiving,General Entertainment,Via Tortona 31,45.4509867,9.159368277,51631f7b8aca9531248a8bb4
Moncler Gamme Bleu FW13 Show,General Entertainment,Via Tortona 58,45.45129529,9.1609025,50ed9366f31cdcd22aa24108
Rocket,Rock Club,Alzaia Naviglio Grande 98,45.44943073,9.161466462,4b05887bf964a52073c822e3
Codice a Barre,Music Venue,98 Alzaia Naviglio Grande,45.44935503,9.161643897,4b05887af964a52046c822e3
Emporio 31,General Entertainment,Via Tortona 31,45.4509151,9.162802099,4f74c2b9e4b04f5d5cd17fcc
Calcetto VML,General Entertainment,"Via Tortona, 37",45.450253,9.158367,4ced078c3b03f04d91de31dc
Bobino Club,Cocktail Bar,Alzaia Naviglio Grande 116,45.44902139,9.15937359,4c41f2c7ce54e21ecedb0b1a
Fashion Parfumed Corner,General Entertainment,Via Tortona 54,45.451676,9.162944,4e7db8387ee671559aecb992
Giovannoni Studio,Lounge,,45.453827,9.158897,5165f6b9e4b0ef70eacac737
Sfilata C'N'C Costume national- Castello Sforzesco,General Entertainment,,45.45157367,9.16100543,505c5948e4b035b64dc0f796
Rocky Horror Picture Show,General Entertainment,,45.45262077,9.160216227,4d9f6b8e5dc7f04d62506e91
Il Raduno Dei Distratti,General Entertainment,,45.451888,9.162981,51045785e4b0ad7f35ff40d9
Aria Savona,General Entertainment,"Via savona, 43",45.453621,9.161947,4c016c5b58dbc9282b54ee6b
L'Huffington Post Launch,General Entertainment,,45.453732,9.160966,5061f730e4b0597ff990367a
Sapori Solari,Gastropub,Via Anguissola 5,45.45378037,9.158378341,4d78c963db7c548175ee35f2
Vertical Stage Session,Music Venue,Via Stendhal 30,45.452319,9.159932,4dab1c2e0437dccbd8155805
Circle,Lounge,"Via Stendhal, 36",45.45357791,9.159337817,4c29e93f9eb19521b0d12959
welcomehome,General Entertainment,Via Stendhal 36,45.45353697,9.160006092,57100886498ece022dbedfb1
Foppa31,General Entertainment,,45.45706916,9.158908631,50bef4afe4b0fb901fc997c3
Idio,Lounge,Via Foppa 24,45.45770805,9.160648464,4e8231978b81400d66718ef9
Biliardo Corso Colombo,General Entertainment,,45.45910044,9.161006422,4f68de84e4b0fef790124307
Corso Del Lunedì,General Entertainment,,45.460863,9.16281,4e89688193ad855afd6a15a3
L.E.S. Milano,General Entertainment,Piazza Sant'Agostino,45.46467529,9.162503244,4f155643e4b09e81dc862cff
Circolo ricreativo Versaci,General Entertainment,Via Ercole Ferrario,45.46205426,9.161139658,5234beff11d2054cea295610
desperate housewife,Comedy Club,,45.464228,9.161787,5315f80a11d208cb44d2c20e
Mini countryman party,Nightclub,Via Bergognone 34,45.46575488,9.161627725,4bc4e4eaf8219c74940eb810
Uramaki.tv,Rock Club,Webvideo Factory,45.46612329,9.15837778,4eca3aa80e6158ba01b7a25a
Mammamondo Milano,General Entertainment,Via Cimarosa 8,45.46661934,9.158413113,4fbca6bce4b0742d2e42d5bf
mon métro,Comedy Club,,45.46690654,9.162869279,4e08cec3c65b5bf27798317d
ottavio's flat,Nightclub,Via Giovanni Rasori 9,45.467803,9.162329,569585e1498e725384bf75b4
Giostre di Largo Zandonai,General Entertainment,,45.47055556,9.159527973,50029045e4b0c123ddf9e191
Legend Tour Harley,General Entertainment,,45.46834455,9.160065474,4dce5f86e4cd130e1664c09f
chez tamburello,General Entertainment,via alberto da giussano 24,45.469809,9.162079,4dade5546a23e6c9347ee0f8
Maratona Manzoni,Amphitheater,,45.47473,9.160308,57f7b06f498ea2b997362f5f
Auditorium Leone XIII,Theater,,45.47393944,9.16296748,4d0d15028010548122891c96
Terrace bbq,Comedy Club,,45.47839996,9.161865371,4e0f8c91b0fb59de67e17cba
Terrazzonello,Nightclub,,45.48132556,9.160056859,4eab5362991107f63c8fde34
Sequoia,Bar,Via giovanni Prati,45.478587,9.161378,4bdb4c2f2a3a0f473f57aeb6
Casa JPtaz,Concert Hall,,45.48265457,9.162620544,559eae6a498e7a2cd1cfe6d7
Casa dell'informatico pazzo,General Entertainment,,45.48472622,9.159235944,54593681498e5e33a6666378
Spazio Scopricoop,General Entertainment,,45.48307212,9.158985352,534d5949498e16359c4fd2fe
55Milano,Lounge,"via Piero Della Francesca, 55",45.48587639,9.160411135,54baecb2498e16c0b9e59c4f
Chatulle,Italian Restaurant,"Via Piero della Francesca, 68",45.48616425,9.1603105,4c0566b2761ac9b6aa781f74
Villa Bambù,Lounge,Via Salvioni,45.48544629,9.160633509,4e05d97b14959022c88c10fb
Alle Volte Spazio,General Entertainment,Via Cenisio 62,45.48778915,9.160392761,524474e611d24615c621aacb
Mr Brown's studios,General Entertainment,via Cenisio 62,45.488186,9.160086,4fa11bbee4b0e93e33d3a063
Il Gattopardo Café,Nightclub,"Via Piero della Francesca, 47",45.48530784,9.161588245,4c69c94ccff29521353d1a5e
Linguaggi Creativi,Theater,Via Villoresi 26,45.44641145,9.165267339,4caa0365ae1eef3bdf7f3347
Teatro LinguaggiCreativi,Theater,,45.44644241,9.16345592,50a8f82de4b0b2e8c02cb8a1
SuperStudio Più,Art Gallery,Via Tortona 27,45.45081902,9.163484548,4ba7b7e4f964a520b4ac39e3
Spazio Bugatti 15,General Entertainment,Via Gaspare Bugatti 15,45.45127002,9.167252926,5065e09de4b0b68b5da28925
Super Juice Bar Tortona,General Entertainment,,45.450494,9.163429,5168117ce4b08a51fbae4491
Monsterland,General Entertainment,,45.44995747,9.164394393,5272cb3a11d25034fbea22df
Via Bugatti 15,General Entertainment,,45.451257,9.167459,4f8dc117e4b013d9a584dd96
The Magazzini,General Entertainment,,45.450573,9.16693,5168866ae4b031a6fbc91e49
Magazzini di Porta Genova,General Entertainment,,45.45061761,9.167478068,4f74c798e4b0bb6ea26e97ce
Cake Festival 2016,General Entertainment,,45.450782,9.163524,57fa6480498ea2b99c60192f
Circo Delle Pulci,General Entertainment,Ex Magazzini Porta Genova,45.45053907,9.167021569,5262f88e498ee0f0a3f31b9e
Temporary museum,General Entertainment,,45.451299,9.167164,4f91e3a1e4b079cca4933875
Liquidambar,Lounge,,45.45265,9.167143,5777f32a498e189814efbd22
Terrazza Gancia,Lounge,Via Tortona 21,45.452858,9.166469,4c17c4651436a5934d558c75
Fotografica 12,General Entertainment,,45.453057,9.165530941,50a3d332e4b06729d1186af7
Carlsberg Drink Different,Nightclub,Via Bergognone 30,45.45401831,9.166674646,4ed81fc3d3e346be3196584c
McOttavio's,General Entertainment,,45.45425597,9.167074055,4eed20949adf257d6677a5f4
rotonda di via bergognone,Nightclub,,45.452348,9.164491,552d6d03498ea54018f26788
Burlesque Award,General Entertainment,,45.453897,9.163767,4d6043345b276dcb778213c6
